pl_name,descripcion
Kepler-227 b,"Planeta confirmado por el método de tránsito. Es uno de los planetas del sistema Kepler-227, con un periodo orbital de 9.49 días y temperatura de equilibrio de 793 K."
Kepler-227 c,"Segundo planeta del sistema Kepler-227, detectado por tránsito, con un periodo orbital de 54.4 días y temperatura de equilibrio de 443 K."
Kepler-664 b,"Planeta gigante gaseoso en la zona habitable de su estrella, descubierto por el telescopio Kepler."
Kepler-228 d,"Planeta del sistema Kepler-228, con características similares a Neptuno."
Kepler-1 b,"Primer exoplaneta confirmado por Kepler, gigante gaseoso muy cercano a su estrella."
Kepler-2 b,"Segundo exoplaneta confirmado por Kepler, con un periodo orbital de 232 días."
Kepler-8 b,"Planeta caliente tipo Júpiter, descubierto por el método de tránsito."
Kepler-466 c,"Planeta del sistema Kepler-466, con masa y radio similares a Neptuno."
K00753.01,"Posible exoplaneta candidato detectado por Kepler, pendiente de confirmación."
K00754.01,"Objeto con señales de falso positivo en los datos de Kepler."
K00755.01,"Planeta confirmado en el sistema Kepler-664, gigante gaseoso."
K00756.01,"Planeta del sistema Kepler-228, con periodo orbital de 11 días."
K00756.02,"Planeta del sistema Kepler-228, con periodo orbital de 4 días."
K00756.03,"Planeta del sistema Kepler-228, con periodo orbital de 2.5 días."
K00114.01,"Objeto con señales de falso positivo, no considerado exoplaneta."
K00757.01,"Planeta confirmado en el sistema Kepler-229, con periodo orbital de 16 días."
K00001.01,"Planeta gigante gaseoso, primer candidato de Kepler."
K00002.01,"Planeta gigante gaseoso, segundo candidato de Kepler."
K00010.01,"Planeta caliente tipo Júpiter, descubierto por Kepler."
K00112.02,"Planeta del sistema Kepler-466, con periodo orbital de 3.7 días."
K00742.01,"Objeto con señales de falso positivo en los datos de Kepler."
K00743.01,"Objeto con señales de falso positivo en los datos de Kepler."
K00744.01,"Objeto con señales de falso positivo en los datos de Kepler."
K00745.01,"Objeto con señales de falso positivo en los datos de Kepler."
K00746.01,"Planeta confirmado en el sistema Kepler-660, con periodo orbital de 9.2 días."
K00747.01,"Planeta confirmado en el sistema Kepler-661, con periodo orbital de 6.8 días."
